network_id,architecture,depth,width,layer_structure,r_all,p_all,r_skip,p_skip,accuracy
16,flat,8,32,32→32→32→32→32→32→32→32,-0.12989697523528573,0.7591690290091992,-0.04418239206692486,0.9250668295582709,0.33250001072883606
17,flat,9,32,32→32→32→32→32→32→32→32→32,-0.1641502983198036,0.6730138610835253,-0.06573291064355913,0.877105357071804,0.9244999885559082
18,flat,10,32,32→32→32→32→32→32→32→32→32→32,-0.4472590291788067,0.19496464625698193,-0.30847227105314257,0.4193068369400677,0.7760000228881836
19,flat,11,32,32→32→32→32→32→32→32→32→32→32→32,-0.8150026959467245,0.002241170212137,-0.8832043370578853,0.0007054716377735219,0.9375
20,flat,12,32,32→32→32→32→32→32→32→32→32→32→32→32,-0.7570439468201428,0.004359513850912774,-0.40829783321048263,0.2125189623655475,0.9244999885559082
22,flat,4,64,64→64→64→64,-0.911984109450905,0.08801589054909487,-0.9583003964338324,0.18449385890094647,0.6349999904632568
23,flat,5,64,64→64→64→64→64,-0.9602679116805304,0.009450190835162823,-0.997279764979934,0.0027202350200661307,0.3050000071525574
24,flat,6,64,64→64→64→64→64→64,-0.7748629129291293,0.07032433306881088,-0.5470700513846344,0.339949322501586,0.38350000977516174
25,flat,7,64,64→64→64→64→64→64→64,-0.2997986223839514,0.5136064923711734,-0.7089385800730633,0.11474623645680589,0.7250000238418579
26,flat,8,64,64→64→64→64→64→64→64→64,-0.6144663854146992,0.10503082162763544,-0.9260645938539498,0.0027426020845829416,0.8460000157356262
27,flat,9,64,64→64→64→64→64→64→64→64→64,-0.28666050553118055,0.45454592321812415,0.348487825451356,0.3975600302784743,0.8575000166893005
28,flat,10,64,64→64→64→64→64→64→64→64→64→64,-0.9444663996547435,3.8901077617799394e-05,-0.9986081291758581,3.307847419442147e-10,0.5
29,flat,11,64,64→64→64→64→64→64→64→64→64→64→64,-0.3768836781183541,0.2532289952954159,-0.35905391829041455,0.30823499180478603,0.925000011920929
30,flat,12,64,64→64→64→64→64→64→64→64→64→64→64→64,-0.9999927016537906,1.630675644819556e-25,-0.9582784579780363,3.411049568137399e-06,0.5
32,flat,4,128,128→128→128→128,-0.5841022430917711,0.41589775690822894,-0.9549362194586881,0.19184632707183114,0.6759999990463257
33,flat,5,128,128→128→128→128→128,-0.9660739446216869,0.00746296502515919,-0.9554096489354482,0.04459035106455178,0.684499979019165
34,flat,6,128,128→128→128→128→128→128,-0.6328070347706273,0.1774915731284612,-0.9076686355908334,0.03320852886322984,0.7195000052452087
35,flat,7,128,128→128→128→128→128→128→128,-0.5054092511064309,0.24723778320425882,-0.5717961994533745,0.2357803400353759,0.9259999990463257
36,flat,8,128,128→128→128→128→128→128→128→128,-0.2998448537444477,0.4705796682902914,-0.32370869178063927,0.47878933502064636,0.9445000290870667
37,flat,9,128,128→128→128→128→128→128→128→128→128,0.005573954688622343,0.988645126742171,0.4212667718888137,0.298600024971079,0.8149999976158142
38,flat,10,128,128→128→128→128→128→128→128→128→128→128,-0.10736186413026032,0.7678343136493903,0.4084102625707187,0.275136411623246,0.9629999995231628
39,flat,11,128,128→128→128→128→128→128→128→128→128→128→128,-0.7432681603548337,0.008756151732670935,-0.4252827394728364,0.22048102472586928,0.9244999885559082
40,flat,12,128,128→128→128→128→128→128→128→128→128→128→128→128,-0.5318973598861392,0.07508293943376407,-0.528852620122948,0.09439372636239919,0.8675000071525574
42,bottleneck,4,128,128→32→32→128,-0.7131395732132677,0.2868604267867323,-0.8897148031924261,0.3018063218041851,0.414000004529953
43,bottleneck,5,128,128→64→32→64→128,-0.9805613011880888,0.00324387613915033,-0.9675057150096324,0.03249428499036755,0.6535000205039978
44,bottleneck,6,128,128→64→32→32→64→128,-0.22976077271982231,0.6614233779729826,-0.5500045163338605,0.33682532624764483,0.652999997138977
45,bottleneck,7,128,128→128→64→32→64→128→128,-0.4282156412277631,0.33781392306346075,-0.7484998494369502,0.08692450387716893,0.9100000262260437
46,bottleneck,8,128,128→128→64→32→32→64→128→128,-0.4419006412333979,0.27298304399028067,-0.19098820325366953,0.6816492757007664,0.7450000047683716
47,bottleneck,9,128,128→128→128→64→32→64→128→128→128,-0.43705830580692623,0.23946316962423467,-0.5455251714889742,0.16195631676698685,0.8999999761581421
48,bottleneck,10,128,128→128→128→64→32→32→64→128→128→128,-0.49760879298295924,0.1433305694196108,-0.2956405267748594,0.4398860923406666,0.9380000233650208
49,bottleneck,11,128,128→128→128→128→64→32→64→128→128→128→128,-0.39926841757378007,0.22379473619656434,-0.42222935484652147,0.22416957163015158,0.9610000252723694
