network,architecture,depth,width,k,r,p,accuracy
bottleneck_5_128,bottleneck,5,128,600,-0.8181131119060802,0.18188688809391973,0.6894999742507935
bottleneck_6_128,bottleneck,6,128,250,-0.1282401971881633,0.8371681597850955,0.4675000011920929
bottleneck_6_128,bottleneck,6,128,350,-0.33686741510284895,0.5793432453079819,0.4675000011920929
bottleneck_6_128,bottleneck,6,128,450,-0.6976136884081505,0.1902937631563461,0.4675000011920929
bottleneck_6_128,bottleneck,6,128,500,-0.6663210751073619,0.21943007757219585,0.4675000011920929
bottleneck_6_128,bottleneck,6,128,600,-0.6725438086349842,0.2135443038603336,0.4675000011920929
bottleneck_7_128,bottleneck,7,128,250,-0.20648885038623016,0.6946688236047337,0.7195000052452087
bottleneck_7_128,bottleneck,7,128,350,-0.39643411310740345,0.4365006241431648,0.7195000052452087
bottleneck_7_128,bottleneck,7,128,450,-0.6198145929149365,0.1893352368686429,0.7195000052452087
bottleneck_7_128,bottleneck,7,128,500,-0.7136232497220855,0.11127435073168093,0.7195000052452087
bottleneck_7_128,bottleneck,7,128,600,-0.7911838166417778,0.06085366650092875,0.7195000052452087
bottleneck_8_128,bottleneck,8,128,250,-0.4770210540549295,0.2790840888861,0.9169999957084656
bottleneck_8_128,bottleneck,8,128,350,-0.592823195383106,0.1606781617310844,0.9169999957084656
bottleneck_8_128,bottleneck,8,128,450,-0.6654051284225261,0.10282832265121088,0.9169999957084656
bottleneck_8_128,bottleneck,8,128,500,-0.6841399778165682,0.090043112766786,0.9169999957084656
bottleneck_8_128,bottleneck,8,128,600,-0.8635809868743445,0.012250133274528804,0.9169999957084656
bottleneck_9_128,bottleneck,9,128,250,0.27976208027059946,0.5021735590329013,0.8899999856948853
bottleneck_9_128,bottleneck,9,128,350,0.041805975785428884,0.9217050799645589,0.8899999856948853
bottleneck_9_128,bottleneck,9,128,450,-0.38553995490210025,0.3455520989007089,0.8899999856948853
bottleneck_9_128,bottleneck,9,128,500,-0.5560349016060274,0.15239297108792135,0.8899999856948853
bottleneck_9_128,bottleneck,9,128,600,-0.7764980944769396,0.023441963027678692,0.8899999856948853
flat_10_128,flat,10,128,250,-0.24425183885812293,0.5264927327030338,0.7450000047683716
flat_10_128,flat,10,128,350,-0.5002372109789122,0.17023534757473222,0.7450000047683716
flat_10_128,flat,10,128,450,-0.5896998060658232,0.09466529022457582,0.7450000047683716
flat_10_128,flat,10,128,500,-0.5950501252274322,0.0909654944981415,0.7450000047683716
flat_10_128,flat,10,128,600,-0.6255310468664467,0.07158898219679115,0.7450000047683716
flat_10_16,flat,10,16,250,-0.4403914818270655,0.23548418883421635,0.7045000195503235
flat_10_16,flat,10,16,350,-0.725681493153774,0.02688770377435569,0.7045000195503235
flat_10_16,flat,10,16,450,-0.7670983367721638,0.015848266626308834,0.7045000195503235
flat_10_16,flat,10,16,500,-0.6788981683882928,0.04434344619232217,0.7045000195503235
flat_10_16,flat,10,16,600,-0.5576063376181404,0.11877503239834551,0.7045000195503235
flat_10_32,flat,10,32,250,-0.38259072527327753,0.3095129145550479,0.7465000152587891
flat_10_32,flat,10,32,350,-0.47044592200282936,0.20124343876100684,0.7465000152587891
flat_10_32,flat,10,32,450,-0.5889719437217565,0.09517560192551722,0.7465000152587891
flat_10_32,flat,10,32,500,-0.6637317136823833,0.051254832538288754,0.7465000152587891
flat_10_32,flat,10,32,600,-0.773723795764177,0.014426455953170172,0.7465000152587891
flat_10_64,flat,10,64,250,-0.29283159494483174,0.4444491204386635,0.9495000243186951
flat_10_64,flat,10,64,350,-0.33060901731456693,0.384858063788006,0.9495000243186951
flat_10_64,flat,10,64,450,-0.5424843316978694,0.13129004652756351,0.9495000243186951
flat_10_64,flat,10,64,500,-0.7220299949337264,0.028050756395014517,0.9495000243186951
flat_10_64,flat,10,64,600,-0.9461908589897391,0.00011287340671007023,0.9495000243186951
flat_11_128,flat,11,128,250,-0.7986268131691094,0.005597434926086807,0.612500011920929
flat_11_128,flat,11,128,350,-0.6155525846789636,0.05815533005940737,0.612500011920929
flat_11_128,flat,11,128,450,-0.572339595659583,0.08380629635486127,0.612500011920929
flat_11_128,flat,11,128,500,-0.5473963070747458,0.10146649306496724,0.612500011920929
flat_11_128,flat,11,128,600,-0.46505618389249265,0.17562960166577887,0.612500011920929
flat_11_16,flat,11,16,250,-0.610732552308239,0.06071789453852388,0.5
flat_11_16,flat,11,16,350,-0.7293608842584517,0.016675069752167322,0.5
flat_11_16,flat,11,16,450,-0.7814484049295994,0.007594640158533564,0.5
flat_11_16,flat,11,16,500,-0.7772006356757039,0.008157192046627213,0.5
flat_11_16,flat,11,16,600,-0.8448651228777924,0.002092127224698268,0.5
flat_11_32,flat,11,32,250,-0.32687261816481206,0.35659134288021177,0.9194999933242798
flat_11_32,flat,11,32,350,-0.5522852231906484,0.09783468317808312,0.9194999933242798
flat_11_32,flat,11,32,450,-0.6796099146469126,0.030633337882748756,0.9194999933242798
flat_11_32,flat,11,32,500,-0.7209388354535184,0.018639289115182252,0.9194999933242798
flat_11_32,flat,11,32,600,-0.7450021508285123,0.013417137607954566,0.9194999933242798
flat_11_64,flat,11,64,250,-0.9936434800889434,7.088251468583701e-09,0.5
flat_11_64,flat,11,64,350,-0.9960087151614275,1.1049620232825544e-09,0.5
flat_11_64,flat,11,64,450,-0.9710149351109101,2.9818701390185263e-06,0.5
flat_11_64,flat,11,64,500,-0.934433789553637,7.466408014853824e-05,0.5
flat_11_64,flat,11,64,600,-0.8586636446414547,0.001466787967999164,0.5
flat_12_128,flat,12,128,250,-0.2590691506944866,0.441741715542163,0.8840000033378601
flat_12_128,flat,12,128,350,0.14869753842656466,0.6625846448980884,0.8840000033378601
flat_12_128,flat,12,128,450,0.2634477020488971,0.4337821563352469,0.8840000033378601
flat_12_128,flat,12,128,500,0.1553358055959685,0.6483438900339492,0.8840000033378601
flat_12_128,flat,12,128,600,-0.20494835065167444,0.5454947848417702,0.8840000033378601
flat_12_16,flat,12,16,250,-0.4186085659794977,0.20006359780086425,0.8895000219345093
flat_12_16,flat,12,16,350,-0.4786187315942259,0.1364096920446701,0.8895000219345093
flat_12_16,flat,12,16,450,-0.5455398851256019,0.0825932422075655,0.8895000219345093
flat_12_16,flat,12,16,500,-0.5815447138999202,0.060569906131457234,0.8895000219345093
flat_12_16,flat,12,16,600,-0.6031325057860734,0.049489451673487596,0.8895000219345093
flat_12_32,flat,12,32,250,-0.5065387914202604,0.11182937536204943,0.9154999852180481
flat_12_32,flat,12,32,350,-0.5340075678802216,0.09063707103730792,0.9154999852180481
flat_12_32,flat,12,32,450,-0.5485319954276469,0.08058657200598841,0.9154999852180481
flat_12_32,flat,12,32,500,-0.524406696074947,0.09771464977743333,0.9154999852180481
flat_12_32,flat,12,32,600,-0.5147129083925568,0.10521841706268549,0.9154999852180481
flat_12_64,flat,12,64,250,-0.46253866000307375,0.15199953269538205,0.5724999904632568
flat_12_64,flat,12,64,350,-0.8867186251217978,0.00027488791893496103,0.5724999904632568
flat_12_64,flat,12,64,450,-0.8100477763207999,0.00250506601282973,0.5724999904632568
flat_12_64,flat,12,64,500,-0.7463743957943878,0.008330205581884487,0.5724999904632568
flat_12_64,flat,12,64,600,-0.7712866111921386,0.005440073416022618,0.5724999904632568
flat_4_128,flat,4,128,250,-0.8645150087286779,0.33525142611765707,0.871999979019165
flat_4_128,flat,4,128,350,-0.9530977680400234,0.1957510552048698,0.871999979019165
flat_4_128,flat,4,128,450,-0.9635477537461958,0.17241912048560473,0.871999979019165
flat_4_128,flat,4,128,500,-0.9736236740716349,0.1465417967543852,0.871999979019165
flat_4_128,flat,4,128,600,-0.977579005647847,0.13506329933816522,0.871999979019165
flat_4_16,flat,4,16,250,-0.8747026409305712,0.3221133022695607,0.3075000047683716
flat_4_16,flat,4,16,350,-0.9221796154432134,0.25281293297825363,0.3075000047683716
flat_4_16,flat,4,16,450,-0.9252139757832146,0.24777063497513743,0.3075000047683716
flat_4_16,flat,4,16,500,-0.9185435800268761,0.25873240558218863,0.3075000047683716
flat_4_16,flat,4,16,600,-0.9248267673465703,0.24841947253227156,0.3075000047683716
flat_4_32,flat,4,32,250,-0.9040332344043999,0.28118456532566766,0.7394999861717224
flat_4_32,flat,4,32,350,-0.9737968391152991,0.14605784055132964,0.7394999861717224
flat_4_32,flat,4,32,450,-0.999273514697928,0.024268047304368583,0.7394999861717224
flat_4_32,flat,4,32,500,-0.9976612885753863,0.04354799019838708,0.7394999861717224
flat_4_32,flat,4,32,600,-0.9889329183214433,0.09480102316249854,0.7394999861717224
flat_4_64,flat,4,64,250,-0.8780408912336731,0.31770074609587656,0.3540000021457672
flat_4_64,flat,4,64,350,-0.9580842968067709,0.1849746749192473,0.3540000021457672
flat_4_64,flat,4,64,450,-0.9786504484519842,0.1317847653242757,0.3540000021457672
flat_4_64,flat,4,64,500,-0.9718536490321049,0.1514014791592362,0.3540000021457672
flat_4_64,flat,4,64,600,-0.9756156315656377,0.1408761091171117,0.3540000021457672
flat_5_128,flat,5,128,250,-0.5721019359499737,0.4278980640500263,0.37950000166893005
flat_5_128,flat,5,128,350,-0.729560899103256,0.27043910089674394,0.37950000166893005
flat_5_128,flat,5,128,450,-0.6290285505723994,0.37097144942760063,0.37950000166893005
flat_5_128,flat,5,128,500,-0.597667789851521,0.402332210148479,0.37950000166893005
flat_5_128,flat,5,128,600,-0.5678583138352438,0.43214168616475623,0.37950000166893005
flat_5_16,flat,5,16,250,-0.9064292671196283,0.09357073288037165,0.7870000004768372
flat_5_16,flat,5,16,350,-0.8208383117812689,0.17916168821873102,0.7870000004768372
flat_5_16,flat,5,16,450,-0.6185260319700701,0.38147396802992994,0.7870000004768372
flat_5_16,flat,5,16,500,-0.5651461340547195,0.4348538659452805,0.7870000004768372
flat_5_16,flat,5,16,600,-0.0918760390279706,0.9081239609720293,0.7870000004768372
flat_5_32,flat,5,32,250,-0.8709121335017649,0.12908786649823512,0.6754999756813049
flat_5_32,flat,5,32,350,-0.9162927395786641,0.08370726042133603,0.6754999756813049
flat_5_32,flat,5,32,450,-0.8972329231085885,0.10276707689141151,0.6754999756813049
flat_5_32,flat,5,32,500,-0.9046681045696229,0.09533189543037723,0.6754999756813049
flat_5_32,flat,5,32,600,-0.9053076395180275,0.09469236048197249,0.6754999756813049
flat_5_64,flat,5,64,250,-0.3559006575158333,0.6440993424841668,0.7145000100135803
flat_5_64,flat,5,64,350,-0.3648984296694143,0.6351015703305856,0.7145000100135803
flat_5_64,flat,5,64,450,-0.5084010136425112,0.4915989863574888,0.7145000100135803
flat_5_64,flat,5,64,500,-0.6172053316808762,0.3827946683191237,0.7145000100135803
flat_5_64,flat,5,64,600,-0.7212807353250684,0.27871926467493147,0.7145000100135803
flat_6_128,flat,6,128,250,-0.5499132208319448,0.336922409806806,0.5674999952316284
flat_6_128,flat,6,128,350,-0.8041983759609319,0.10089575061973412,0.5674999952316284
flat_6_128,flat,6,128,450,-0.8444520391503574,0.07189994458674735,0.5674999952316284
flat_6_128,flat,6,128,500,-0.7775812915704164,0.12163061152866521,0.5674999952316284
flat_6_128,flat,6,128,600,-0.6316869055514093,0.25297385888513146,0.5674999952316284
flat_6_16,flat,6,16,250,-0.3295385040936799,0.5881414346369886,0.5684999823570251
flat_6_16,flat,6,16,350,-0.33439940284695374,0.5823033346557019,0.5684999823570251
flat_6_16,flat,6,16,450,-0.4080561507257315,0.4952486812328044,0.5684999823570251
flat_6_16,flat,6,16,500,-0.47681195906135077,0.41676429322724257,0.5684999823570251
flat_6_16,flat,6,16,600,-0.5754226446023631,0.3100736294302169,0.5684999823570251
flat_6_32,flat,6,32,250,-0.12815719863557962,0.8372729648306318,0.6620000004768372
flat_6_32,flat,6,32,350,-0.2507600941036516,0.6841006867764121,0.6620000004768372
flat_6_32,flat,6,32,450,-0.4009403726314312,0.5035344598363372,0.6620000004768372
flat_6_32,flat,6,32,500,-0.4603176095105387,0.43531707128624814,0.6620000004768372
flat_6_32,flat,6,32,600,-0.6401485209393903,0.24465928015424268,0.6620000004768372
flat_6_64,flat,6,64,250,-0.654002929737845,0.23121042285287563,0.7325000166893005
flat_6_64,flat,6,64,350,-0.7530278339444415,0.1417503038173312,0.7325000166893005
flat_6_64,flat,6,64,450,-0.7951612428019339,0.10780434050959692,0.7325000166893005
flat_6_64,flat,6,64,500,-0.7682698357627913,0.12915285519689282,0.7325000166893005
flat_6_64,flat,6,64,600,-0.7899281564368759,0.1118674797182724,0.7325000166893005
flat_7_128,flat,7,128,250,-0.2988816799792679,0.5650270689168425,0.8970000147819519
flat_7_128,flat,7,128,350,-0.5718173727821381,0.23575896438489116,0.8970000147819519
flat_7_128,flat,7,128,450,-0.7835004217541855,0.06523420966121704,0.8970000147819519
flat_7_128,flat,7,128,500,-0.8660841761572802,0.02569938558991924,0.8970000147819519
flat_7_128,flat,7,128,600,-0.8058491098555406,0.05288263523645576,0.8970000147819519
flat_7_16,flat,7,16,250,-0.9651916299533626,0.0017963466336062299,0.7204999923706055
flat_7_16,flat,7,16,350,-0.7444795849280406,0.08959447262908439,0.7204999923706055
flat_7_16,flat,7,16,450,-0.5886207395909523,0.2190398920670222,0.7204999923706055
flat_7_16,flat,7,16,500,-0.563280476022885,0.24443947921756354,0.7204999923706055
flat_7_16,flat,7,16,600,-0.5462225902179046,0.2621513598152645,0.7204999923706055
flat_7_32,flat,7,32,250,-0.621066466455776,0.18818028321736172,0.6980000138282776
flat_7_32,flat,7,32,350,-0.7178758841265106,0.10816332933284688,0.6980000138282776
flat_7_32,flat,7,32,450,-0.5784801767572834,0.22907083988104815,0.6980000138282776
flat_7_32,flat,7,32,500,-0.6104671840708571,0.19805068244262206,0.6980000138282776
flat_7_32,flat,7,32,600,-0.6372744112524101,0.17349290295155265,0.6980000138282776
flat_7_64,flat,7,64,250,-0.6500971192727447,0.1622283796267922,0.7894999980926514
flat_7_64,flat,7,64,350,-0.6308052000344049,0.17929568873790533,0.7894999980926514
flat_7_64,flat,7,64,450,-0.6552606091590556,0.1577825522655462,0.7894999980926514
flat_7_64,flat,7,64,500,-0.7786323905237055,0.06808152084356259,0.7894999980926514
flat_7_64,flat,7,64,600,-0.8952118882185788,0.01589550709102748,0.7894999980926514
flat_8_128,flat,8,128,250,-0.8577452412391006,0.013557987155588508,0.7354999780654907
flat_8_128,flat,8,128,350,-0.36963807463117254,0.4144589683856543,0.7354999780654907
flat_8_128,flat,8,128,450,-0.39944452586936524,0.3746602034037458,0.7354999780654907
flat_8_128,flat,8,128,500,-0.45237353328860996,0.3081318454969383,0.7354999780654907
flat_8_128,flat,8,128,600,-0.5363216492740782,0.2145970957189529,0.7354999780654907
flat_8_16,flat,8,16,250,-0.6416360711598579,0.12032589246944973,0.7615000009536743
flat_8_16,flat,8,16,350,-0.7722282404394682,0.04188358846118502,0.7615000009536743
flat_8_16,flat,8,16,450,-0.6726774084103863,0.09775981812686073,0.7615000009536743
flat_8_16,flat,8,16,500,-0.7302014884670812,0.06240397961363531,0.7615000009536743
flat_8_16,flat,8,16,600,-0.5966791870156315,0.15727716357911606,0.7615000009536743
flat_8_32,flat,8,32,250,-0.09147626731545254,0.8453539958538927,0.6790000200271606
flat_8_32,flat,8,32,350,0.034015223725613004,0.9422873640132498,0.6790000200271606
flat_8_32,flat,8,32,450,-0.08906845166065094,0.8493917638610925,0.6790000200271606
flat_8_32,flat,8,32,500,-0.2423680787023483,0.6005208852745098,0.6790000200271606
flat_8_32,flat,8,32,600,-0.45227917631817266,0.3082454778328951,0.6790000200271606
flat_8_64,flat,8,64,250,-0.4329334162751524,0.3319254050800231,0.9244999885559082
flat_8_64,flat,8,64,350,-0.623117038918818,0.13494066694988924,0.9244999885559082
flat_8_64,flat,8,64,450,-0.7366002333682846,0.058991413561912766,0.9244999885559082
flat_8_64,flat,8,64,500,-0.7850935562868636,0.03648837555064363,0.9244999885559082
flat_8_64,flat,8,64,600,-0.8139631233500718,0.02586644310988629,0.9244999885559082
flat_9_128,flat,9,128,250,-0.49580200701516264,0.21148357986399344,0.9229999780654907
flat_9_128,flat,9,128,350,-0.6936256041657374,0.056387010498619716,0.9229999780654907
flat_9_128,flat,9,128,450,-0.8675343938687898,0.005248958923623972,0.9229999780654907
flat_9_128,flat,9,128,500,-0.6882536748015258,0.05913792881464265,0.9229999780654907
flat_9_128,flat,9,128,600,-0.5908580392820847,0.12298144304359274,0.9229999780654907
flat_9_16,flat,9,16,250,-0.6841101403253714,0.061313327522734364,0.7085000276565552
flat_9_16,flat,9,16,350,-0.6330026533529003,0.09205743057090912,0.7085000276565552
flat_9_16,flat,9,16,450,-0.5565086769968048,0.1519693488606977,0.7085000276565552
flat_9_16,flat,9,16,500,-0.5190387639182958,0.18746306595924606,0.7085000276565552
flat_9_16,flat,9,16,600,-0.45750917547006764,0.25435775614883716,0.7085000276565552
flat_9_32,flat,9,32,250,-0.5581633591832036,0.15049490288664902,0.9225000143051147
flat_9_32,flat,9,32,350,-0.6379166437062723,0.08878245930542385,0.9225000143051147
flat_9_32,flat,9,32,450,-0.6979435804910893,0.05423230656280451,0.9225000143051147
flat_9_32,flat,9,32,500,-0.7370668499605858,0.03695366387062131,0.9225000143051147
flat_9_32,flat,9,32,600,-0.7580922712960763,0.02928039911773149,0.9225000143051147
flat_9_64,flat,9,64,250,-0.44259176687062224,0.2721445071804758,0.6570000052452087
flat_9_64,flat,9,64,350,-0.5947109288491791,0.11994230351483443,0.6570000052452087
flat_9_64,flat,9,64,450,-0.8537423640239739,0.006988721463098788,0.6570000052452087
flat_9_64,flat,9,64,500,-0.8813976378630531,0.0038086060349301343,0.6570000052452087
flat_9_64,flat,9,64,600,-0.8470283118437394,0.00795367952236536,0.6570000052452087
